district,year,month,monthly_rain_sum,monthly_rain_mean
amreli,2024,9,217.7,7.256666666666666
amreli,2024,10,99.2,3.2
amreli,2024,11,0.0,0.0
amreli,2024,12,0.0,0.0
amreli,2025,1,0.0,0.0
amreli,2025,2,0.0,0.0
amreli,2025,3,0.0,0.0
amreli,2025,4,0.0,0.0
amreli,2025,5,113.7,3.667741935483871
amreli,2025,6,235.9,7.863333333333333
amreli,2025,7,74.9,2.416129032258065
amreli,2025,8,121.4,3.916129032258065
amreli,2025,9,131.9,4.3966666666666665
amreli,2025,10,285.7,9.216129032258063
amreli,2025,11,15.1,0.5033333333333333
amreli,2025,12,0.4,0.0129032258064516
amreli,2026,1,0.2,0.0066666666666666
anand,2003,1,0.0,0.0
anand,2003,2,7.6,0.2714285714285714
anand,2003,3,0.0,0.0
anand,2003,4,0.1,0.0033333333333333
anand,2003,5,0.0,0.0
anand,2003,6,138.2,4.6066666666666665
anand,2003,7,386.9,12.480645161290322
anand,2003,8,284.0,9.161290322580646
anand,2003,9,31.2,1.04
anand,2003,10,0.0,0.0
anand,2003,11,0.1,0.0033333333333333
anand,2003,12,0.0,0.0
anand,2004,1,0.0,0.0
anand,2004,2,0.0,0.0
anand,2004,3,0.0,0.0
anand,2004,4,0.0,0.0
anand,2004,5,4.7,0.1516129032258064
anand,2004,6,107.2,3.573333333333333
anand,2004,7,381.5,12.306451612903226
anand,2004,8,501.3,16.170967741935485
anand,2004,9,24.7,0.8233333333333334
anand,2004,10,27.8,0.8967741935483872
anand,2004,11,0.0,0.0
anand,2004,12,0.4,0.0129032258064516
anand,2005,1,0.3,0.0096774193548387
anand,2005,2,0.0,0.0
anand,2005,3,0.2,0.0064516129032258
anand,2005,4,0.0,0.0
anand,2005,5,0.9,0.0290322580645161
anand,2005,6,336.5,11.216666666666669
anand,2005,7,206.2,6.651612903225807
anand,2005,8,202.0,6.516129032258065
anand,2005,9,340.2,11.34
anand,2005,10,0.2,0.0064516129032258
anand,2005,11,0.0,0.0
anand,2005,12,0.0,0.0
anand,2006,1,0.0,0.0
anand,2006,2,0.0,0.0
anand,2006,3,4.4,0.1419354838709677
anand,2006,4,0.0,0.0
anand,2006,5,0.3,0.0096774193548387
anand,2006,6,139.0,4.633333333333334
anand,2006,7,730.7,23.570967741935487
anand,2006,8,450.0,14.516129032258064
anand,2006,9,137.6,4.586666666666667
anand,2006,10,0.0,0.0
anand,2006,11,0.6,0.02
anand,2006,12,0.0,0.0
anand,2007,1,0.8,0.0258064516129032
anand,2007,2,1.1,0.0392857142857142
anand,2007,3,0.5,0.0161290322580645
anand,2007,4,1.6,0.0533333333333333
anand,2007,5,1.0,0.032258064516129
anand,2007,6,90.7,3.023333333333333
anand,2007,7,377.8,12.187096774193549
anand,2007,8,419.7,13.538709677419355
anand,2007,9,321.90000000000003,10.73
anand,2007,10,0.3,0.0096774193548387
anand,2007,11,2.2,0.0733333333333333
anand,2007,12,0.0,0.0
anand,2008,1,0.0,0.0
anand,2008,2,0.1,0.0034482758620689
anand,2008,3,0.5,0.0161290322580645
anand,2008,4,0.3,0.01
anand,2008,5,0.0,0.0
anand,2008,6,71.8,2.393333333333333
anand,2008,7,253.3,8.170967741935485
anand,2008,8,245.6,7.922580645161291
anand,2008,9,163.20000000000002,5.44
anand,2008,10,8.8,0.2838709677419355
anand,2008,11,12.0,0.4
anand,2008,12,3.4,0.1096774193548387
anand,2009,1,0.0,0.0
anand,2009,2,0.0,0.0
anand,2009,3,0.4,0.0129032258064516
anand,2009,4,0.3,0.01
anand,2009,5,0.0,0.0
anand,2009,6,26.4,0.8800000000000001
anand,2009,7,363.4,11.72258064516129
anand,2009,8,137.3,4.429032258064517
anand,2009,9,19.7,0.6566666666666666
anand,2009,10,3.9,0.1258064516129032
anand,2009,11,6.2,0.2066666666666666
anand,2009,12,0.2,0.0064516129032258
anand,2010,1,0.4,0.0129032258064516
anand,2010,2,0.6,0.0214285714285714
anand,2010,3,0.0,0.0
anand,2010,4,0.0,0.0
anand,2010,5,0.0,0.0
anand,2010,6,41.3,1.3766666666666665
anand,2010,7,334.3,10.783870967741937
anand,2010,8,348.9,11.25483870967742
anand,2010,9,300.1,10.003333333333332
anand,2010,10,7.3,0.2354838709677419
anand,2010,11,58.7,1.9566666666666668
anand,2010,12,0.3999999999999999,0.0129032258064516
anand,2011,1,0.0,0.0
anand,2011,2,0.4,0.0142857142857142
anand,2011,3,0.0,0.0
anand,2011,4,0.4,0.0133333333333333
anand,2011,5,0.0,0.0
anand,2011,6,4.3,0.1433333333333333
anand,2011,7,337.79999999999995,10.896774193548383
anand,2011,8,336.4,10.851612903225806
anand,2011,9,106.4,3.546666666666667
anand,2011,10,0.2,0.0064516129032258
anand,2011,11,0.0,0.0
anand,2011,12,0.0,0.0
