district,monthly_ndvi_mean,year,month
amreli,2.295112784115431e-05,2013,5
amreli,2.4197496811181603e-05,2013,6
amreli,2.6294957119907977e-05,2013,7
amreli,6.116206002906484e-05,2013,8
amreli,6.733717371409044e-05,2013,9
amreli,6.15674743757648e-05,2013,10
amreli,5.693479658537572e-05,2013,11
amreli,5.016893846951544e-05,2013,12
amreli,4.637912099169477e-05,2014,1
amreli,4.05001648333975e-05,2014,2
amreli,3.198173717609137e-05,2014,3
amreli,2.7988453149437736e-05,2014,4
amreli,2.5240813755826712e-05,2014,5
amreli,2.223434024926999e-05,2014,6
amreli,2.523003836736861e-05,2014,7
amreli,4.78703589369805e-05,2014,8
amreli,6.535363104153631e-05,2014,9
amreli,5.836286442860375e-05,2014,10
amreli,5.0458073531673e-05,2014,11
amreli,4.3167608044168985e-05,2014,12
amreli,3.671042585890386e-05,2015,1
amreli,3.172443976330198e-05,2015,2
amreli,2.7874541930925863e-05,2015,3
amreli,2.493419725991732e-05,2015,4
amreli,2.217816819654568e-05,2015,5
amreli,2.1991360218476372e-05,2015,6
amreli,2.679499012592377e-05,2015,7
amreli,5.624718609382416e-05,2015,8
amreli,6.216090500374625e-05,2015,9
amreli,5.432939878539158e-05,2015,10
amreli,4.849518786748945e-05,2015,11
amreli,4.14703356848336e-05,2015,12
amreli,3.807672981903509e-05,2016,1
amreli,3.232049942086053e-05,2016,2
amreli,2.706604583342892e-05,2016,3
amreli,2.45780452091385e-05,2016,4
amreli,2.248615454784017e-05,2016,5
amreli,1.821066710330715e-05,2016,6
amreli,1.6564594768627265e-05,2016,7
amreli,4.689483584676697e-05,2016,8
amreli,6.695337864863056e-05,2016,9
amreli,5.905133046222942e-05,2016,10
amreli,5.066369293305521e-05,2016,11
amreli,4.814607464707119e-05,2016,12
amreli,4.256911685718861e-05,2017,1
amreli,3.604502846841303e-05,2017,2
amreli,2.8371313213891712e-05,2017,3
amreli,2.604329087202125e-05,2017,4
amreli,2.36413193579445e-05,2017,5
amreli,2.463526123987316e-05,2017,6
amreli,2.7043799307194717e-05,2017,7
amreli,5.670463742000445e-05,2017,8
amreli,6.7223582390645e-05,2017,9
amreli,6.006724069910199e-05,2017,10
amreli,5.0196016199177394e-05,2017,11
amreli,4.518820137838651e-05,2017,12
amreli,3.851921189393881e-05,2018,1
amreli,3.04821089281625e-05,2018,2
amreli,2.684657651830099e-05,2018,3
amreli,2.366241612810579e-05,2018,4
amreli,2.0191594475459023e-05,2018,5
amreli,2.092899240131024e-05,2018,6
amreli,1.2409608963376372e-05,2018,7
amreli,3.8785131472883126e-05,2018,8
amreli,5.647322178238766e-05,2018,9
amreli,4.62680725455932e-05,2018,10
amreli,3.935811048476951e-05,2018,11
amreli,3.429750982370284e-05,2018,12
amreli,3.157605078545908e-05,2019,1
amreli,2.9093197627695517e-05,2019,2
amreli,2.490678257996999e-05,2019,3
amreli,2.285470441189334e-05,2019,4
amreli,2.2109029986472152e-05,2019,5
amreli,2.3781206132071503e-05,2019,6
amreli,2.69664849777504e-05,2019,7
amreli,5.662337852556345e-05,2019,8
amreli,6.872395043159985e-05,2019,9
amreli,6.711231418138825e-05,2019,10
amreli,6.329491423790438e-05,2019,11
amreli,5.4606626516601855e-05,2019,12
amreli,4.899520967573585e-05,2020,1
amreli,4.0911711896084144e-05,2020,2
amreli,3.259821518959986e-05,2020,3
amreli,2.9116431858045795e-05,2020,4
amreli,2.4862334792156973e-05,2020,5
amreli,3.271860761230986e-05,2020,6
amreli,5.348506780328316e-05,2020,7
amreli,5.22961139939749e-05,2020,8
amreli,6.667743497761665e-05,2020,9
amreli,5.4108764367038825e-05,2020,10
amreli,4.956707150364796e-05,2020,11
amreli,4.97597470577635e-05,2020,12
amreli,4.779490591896284e-05,2021,1
amreli,4.062971566776623e-05,2021,2
amreli,3.109788809543848e-05,2021,3
amreli,2.9090689533970867e-05,2021,4
amreli,2.603334090807409e-05,2021,5
amreli,3.1094786197402405e-05,2021,6
amreli,3.232605031945685e-05,2021,7
amreli,5.951944255354334e-05,2021,8
amreli,6.414450665634003e-05,2021,9
amreli,5.929161049373013e-05,2021,10
amreli,5.231391646088948e-05,2021,11
amreli,4.806020792842688e-05,2021,12
amreli,4.99096794619047e-05,2022,1
amreli,4.170617500114927e-05,2022,2
amreli,2.8774565729137096e-05,2022,3
amreli,2.798920566812281e-05,2022,4
amreli,2.247865816022971e-05,2022,5
amreli,2.226666467210814e-05,2022,6
amreli,3.77646198493162e-05,2022,7
amreli,5.315673867369742e-05,2022,8
amreli,6.526974147869386e-05,2022,9
amreli,5.2769992459240525e-05,2022,10
amreli,4.550177772296949e-05,2022,11
amreli,4.5459638862662445e-05,2022,12
amreli,4.455770220802307e-05,2023,1
amreli,3.630461576371185e-05,2023,2
amreli,3.030875340378996e-05,2023,3
amreli,2.843944878290436e-05,2023,4
amreli,2.5372578313895795e-05,2023,5
amreli,2.610036026850317e-05,2023,6
amreli,2.482653685049884e-05,2023,7
amreli,4.83433097009864e-05,2023,8
amreli,6.0403519409384986e-05,2023,9
amreli,5.255104048496202e-05,2023,10
amreli,4.742189859965653e-05,2023,11
amreli,4.813282677735804e-05,2023,12
amreli,4.676674757856531e-05,2024,1
amreli,3.8224288195182405e-05,2024,2
amreli,2.75292990939728e-05,2024,3
amreli,2.6693798635856778e-05,2024,4
amreli,2.371741157354099e-05,2024,5
amreli,2.302240684966449e-05,2024,6
amreli,2.767165020025977e-05,2024,7
amreli,5.6142674492132366e-05,2024,8
amreli,6.778519577931568e-05,2024,9
amreli,5.929621289276377e-05,2024,10
amreli,5.140664736722463e-05,2024,11
amreli,4.750942431324641e-05,2024,12
anand,5.68106151023439e-05,2005,1
anand,5.499948180849928e-05,2005,2
anand,4.2599743469320826e-05,2005,3
anand,3.812778188327792e-05,2005,4
anand,3.626433514126115e-05,2005,5
anand,2.420838508654613e-05,2005,6
anand,3.032786633713481e-05,2005,7
anand,4.896356268100825e-05,2005,8
anand,5.838909533078028e-05,2005,9
anand,5.3091175064509706e-05,2005,10
anand,4.6535937359375856e-05,2005,11
anand,4.716288151098889e-05,2005,12
